"","...1","iso_code","region_group","income_group","country","survey","year","level","grade","category","sex","location","wealth","region","ethnicity","religion","language","disability","hh_edu_head","comp_prim_v2_m","comp_lowsec_v2_m","comp_upsec_v2_m","comp_prim_1524_m","comp_lowsec_1524_m","comp_upsec_2029_m","eduyears_2024_m","edu2_2024_m","edu4_2024_m","eduout_prim_m","eduout_lowsec_m","eduout_upsec_m","comp_prim_v2_no","comp_lowsec_v2_no","comp_upsec_v2_no","comp_prim_1524_no","comp_lowsec_1524_no","comp_upsec_2029_no","eduyears_2024_no","edu2_2024_no","edu4_2024_no","eduout_prim_no","eduout_lowsec_no","eduout_upsec_no","preschool_3_m","preschool_3_no","preschool_1ybefore_m","preschool_1ybefore_no","edu0_prim_m","edu0_prim_no","trans_prim_m","trans_prim_no","trans_lowsec_m","trans_lowsec_no","comp_higher_2yrs_2529_m","comp_higher_2yrs_2529_no","comp_higher_4yrs_2529_m","comp_higher_4yrs_2529_no","comp_higher_4yrs_3034_m","comp_higher_4yrs_3034_no","attend_higher_1822_m","attend_higher_1822_no","overage2plus_m","overage2plus_no","literacy_1524_m","literacy_1524_no","mlevel1_m","mlevel1_no","rlevel1_m","rlevel1_no","slevel1_m","slevel1_no","mlevel2_m","mlevel2_no","rlevel2_m","rlevel2_no","slevel2_m","slevel2_no","mlevel3_m","mlevel3_no","rlevel3_m","rlevel3_no","slevel3_m","slevel3_no","mlevel4_m","mlevel4_no","rlevel4_m","rlevel4_no","slevel4_m","slevel4_no"
"1",95,"AFG","Central and Southern Asia","Low income","Afghanistan","DHS",2015,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.4035,0.2517,0.1499,0.3118,0.2087,0.0952,NA,0.6999,0.7274,0.4741,0.5521,0.7221,7700,6023,5130,21328,21328,16035,8823,8823,8823,NA,NA,NA,NA,NA,NA,NA,0.4104,13168,0.8795,4087,0.9305,2258,0,7335,0,7335,0,4706,0.0587,11266,0.2272,11145,0.2897,8640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",96,"AFG","Central and Southern Asia","Low income","Afghanistan","DHS",2015,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.6731,0.4872,0.3352,0.6331,0.4391,0.2672,NA,0.3268,0.3666,0.28,0.2474,0.4129,7999,5927,4990,21372,21372,16131,8696,8696,8696,NA,NA,NA,NA,NA,NA,NA,0.1839,15142,0.907,7633,0.8975,5211,0,7392,0,7392,0,5120,0.1082,11169,0.2439,18226,0.804,3712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",710,"AFG","Central and Southern Asia","Low income","Afghanistan","MICS",2011,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.2664,0.1151,0.0556,0.1895,0.1002,0.0384,NA,0.0107,0.1222,0.5188,0.6343,0.7554,3949,3219,1986,10655,10655,7762,836,836,836,NA,NA,NA,0.0115,3301,0.0428,1742,0.503,7020,0.8612,1273,0.863,386,0.1294,480,0.0605,480,0.0261,236,0,1220,0.1559,5023,0.1917,10336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",711,"AFG","Central and Southern Asia","Low income","Afghanistan","MICS",2011,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.5375,0.3465,0.2063,0.4765,0.2921,0.1753,NA,0.0032,0.059,0.3461,0.3621,0.4541,4222,3235,2326,11148,11148,8050,2422,2422,2422,NA,NA,NA,0.0098,3382,0.0478,1811,0.3007,7496,0.9145,3130,0.9053,1429,0.1368,1580,0.07,1580,0.0695,928,0,2862,0.1462,7276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",940,"AGO","Sub-Saharan Africa","Lower middle income","Angola","DHS",2015,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.5654,0.319,0.153,0.6079,0.309,0.1863,NA,0.1955,0.2889,0.2448,0.1744,0.3567,2090,2204,1983,6627,6627,5760,3072,3072,3072,6676,2550,2133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",941,"AGO","Sub-Saharan Africa","Lower middle income","Angola","DHS",2015,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.6341,0.4173,0.2366,0.7483,0.4157,0.2846,NA,0.0802,0.1218,0.2393,0.1407,0.2178,1996,1846,1417,5413,5413,4325,2280,2280,2280,6764,2432,2038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1286,"ALB","Europe and Northern America","Upper middle income","Albania","DHS",2009,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9792,0.6135,0.4595,0.9718,0.5456,0.4131,NA,0.0173,0.0209,0.0751,0.0389,0.2886,1070,852,639,2581,2581,1885,1014,1014,1014,1248,1369,1067,NA,NA,NA,NA,0.0307,1454,0.6317,1350,0.9598,567,0.2196,826,0.1922,826,0.1213,836,0.2379,1115,0.0392,2190,0.9661,4365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1287,"ALB","Europe and Northern America","Upper middle income","Albania","DHS",2009,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.9847,0.6767,0.5054,0.9687,0.6111,0.4772,NA,0.0196,0.0332,0.08,0.0256,0.2489,1040,857,614,2439,2439,1564,945,945,945,1402,1409,969,NA,NA,NA,NA,0.0208,1530,0.68,1234,0.9207,594,0.1893,568,0.1482,568,0.096,564,0.1563,1127,0.0542,2417,0.9482,1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1403,"ALB","Europe and Northern America","Upper middle income","Albania","MICS",2000,NA,1,"Sex","Female",NA,NA,NA,NA,NA,NA,NA,NA,0.9625,0.9286,0.464,NA,NA,NA,NA,0,5e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,769,769,769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1404,"ALB","Europe and Northern America","Upper middle income","Albania","MICS",2000,NA,1,"Sex","Male",NA,NA,NA,NA,NA,NA,NA,NA,0.9415,0.9288,0.4677,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,738,738,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
